job_title,salary_usd,experience_level,employment_type,company_size,remote_ratio,education_required,years_experience,industry,posting_date,benefits_score,country,exp_label,exp_order,size_label,size_order,post_year,post_month,post_ym
Data Analyst,97997.0,SE,CT,S,50,PhD,8,Technology,2024-06-19,6.0,FRANCE,Senior (SE),3,Small (S),1,2024,6,2024-06
Principal Data Scientist,128341.0,SE,FL,S,0,Bachelor,9,Finance,2025-04-26,6.9,SINGAPORE,Senior (SE),3,Small (S),1,2025,4,2025-04
AI Research Scientist,111528.0,MI,FL,L,0,PhD,3,Real Estate,2024-03-01,9.5,UNITED STATES,Mid (MI),2,Large (L),3,2024,3,2024-03
Machine Learning Researcher,138945.0,EX,PT,S,50,Master,19,Education,2024-07-10,8.9,CANADA,Expert (EX),4,Small (S),1,2024,7,2024-07
NLP Engineer,98688.0,SE,FT,M,50,Bachelor,8,Manufacturing,2024-04-10,8.6,ISRAEL,Senior (SE),3,Medium (M),2,2024,4,2024-04
Data Analyst,109029.0,SE,FT,S,0,Bachelor,6,Technology,2025-04-05,6.1,FRANCE,Senior (SE),3,Small (S),1,2025,4,2025-04
NLP Engineer,84797.0,MI,FT,M,0,Master,4,Real Estate,2024-12-04,6.2,CANADA,Mid (MI),2,Medium (M),2,2024,12,2024-12
Machine Learning Researcher,290199.0,EX,CT,L,50,Master,12,Retail,2025-01-12,5.6,SWITZERLAND,Expert (EX),4,Large (L),3,2025,1,2025-01
AI Research Scientist,195691.0,SE,CT,L,0,PhD,8,Transportation,2024-04-20,8.7,UNITED STATES,Senior (SE),3,Large (L),3,2024,4,2024-04
AI Product Manager,193448.0,SE,FT,L,100,Associate,9,Consulting,2025-01-02,6.6,NORWAY,Senior (SE),3,Large (L),3,2025,1,2025-01
AI Product Manager,138466.0,EX,PT,L,100,Associate,16,Government,2024-01-25,9.5,ISRAEL,Expert (EX),4,Large (L),3,2024,1,2024-01
Data Analyst,91577.0,MI,CT,M,100,Bachelor,3,Transportation,2024-01-27,6.5,NETHERLANDS,Mid (MI),2,Medium (M),2,2024,1,2024-01
Computer Vision Engineer,92875.0,MI,FT,S,0,PhD,3,Real Estate,2024-07-21,5.3,SWEDEN,Mid (MI),2,Small (S),1,2024,7,2024-07
Data Engineer,213287.0,EX,FT,S,100,Master,13,Healthcare,2025-03-03,6.3,UNITED KINGDOM,Expert (EX),4,Small (S),1,2025,3,2025-03
NLP Engineer,62171.0,MI,FT,S,0,Bachelor,2,Consulting,2024-09-15,8.1,JAPAN,Mid (MI),2,Small (S),1,2024,9,2024-09
AI Research Scientist,152658.0,EX,FL,L,50,Associate,16,Automotive,2024-01-28,9.0,SOUTH KOREA,Expert (EX),4,Large (L),3,2024,1,2024-01
ML Ops Engineer,95085.0,MI,FT,M,100,Associate,2,Retail,2024-03-20,6.5,NORWAY,Mid (MI),2,Medium (M),2,2024,3,2024-03
Deep Learning Engineer,86750.0,MI,FL,S,100,PhD,2,Government,2024-12-13,7.1,FRANCE,Mid (MI),2,Small (S),1,2024,12,2024-12
AI Specialist,64261.0,MI,PT,M,0,Master,2,Transportation,2024-09-04,8.8,ISRAEL,Mid (MI),2,Medium (M),2,2024,9,2024-09
Machine Learning Researcher,205357.0,EX,PT,S,100,Bachelor,18,Education,2024-03-08,6.6,UNITED STATES,Expert (EX),4,Small (S),1,2024,3,2024-03
AI Architect,165676.0,EX,CT,S,50,Associate,18,Government,2024-05-13,7.8,FRANCE,Expert (EX),4,Small (S),1,2024,5,2024-05
Computer Vision Engineer,114658.0,SE,CT,M,100,Bachelor,9,Telecommunications,2024-03-18,8.2,FRANCE,Senior (SE),3,Medium (M),2,2024,3,2024-03
Data Scientist,143149.0,SE,FL,L,50,Master,6,Real Estate,2024-03-13,9.1,FRANCE,Senior (SE),3,Large (L),3,2024,3,2024-03
Machine Learning Researcher,116276.0,SE,FL,S,50,Bachelor,7,Technology,2024-08-14,7.9,GERMANY,Senior (SE),3,Small (S),1,2024,8,2024-08
NLP Engineer,61055.0,EN,FL,M,100,Bachelor,0,Retail,2024-06-04,6.9,UNITED STATES,Entry (EN),1,Medium (M),2,2024,6,2024-06
ML Ops Engineer,50303.0,EN,FT,L,100,Master,0,Gaming,2024-08-11,7.0,AUSTRIA,Entry (EN),1,Large (L),3,2024,8,2024-08
Data Analyst,65570.0,SE,FL,S,50,Associate,7,Retail,2024-10-22,9.9,IRELAND,Senior (SE),3,Small (S),1,2024,10,2024-10
AI Software Engineer,231078.0,EX,FL,M,50,Bachelor,17,Consulting,2024-04-15,7.6,SINGAPORE,Expert (EX),4,Medium (M),2,2024,4,2024-04
AI Product Manager,106633.0,SE,FT,M,100,Bachelor,9,Automotive,2024-05-18,5.5,AUSTRALIA,Senior (SE),3,Medium (M),2,2024,5,2024-05
AI Specialist,121180.0,SE,FL,L,0,Master,9,Media,2025-01-06,7.0,AUSTRIA,Senior (SE),3,Large (L),3,2025,1,2025-01
Principal Data Scientist,64531.0,EN,PT,L,50,PhD,0,Retail,2025-03-26,7.0,CHINA,Entry (EN),1,Large (L),3,2025,3,2025-03
Machine Learning Engineer,125654.0,MI,CT,L,50,PhD,4,Automotive,2024-06-20,6.8,SINGAPORE,Mid (MI),2,Large (L),3,2024,6,2024-06
Machine Learning Researcher,182275.0,EX,FT,L,0,PhD,14,Technology,2025-04-19,9.0,AUSTRIA,Expert (EX),4,Large (L),3,2025,4,2025-04
Machine Learning Researcher,117708.0,MI,FL,L,0,PhD,4,Transportation,2024-02-24,9.3,DENMARK,Mid (MI),2,Large (L),3,2024,2,2024-02
Data Engineer,143246.0,EX,FT,S,0,Master,11,Healthcare,2024-12-25,8.4,SOUTH KOREA,Expert (EX),4,Small (S),1,2024,12,2024-12
AI Product Manager,203198.0,SE,FT,L,50,Master,5,Consulting,2024-12-04,7.6,DENMARK,Senior (SE),3,Large (L),3,2024,12,2024-12
Research Scientist,69487.0,EN,CT,S,0,Master,0,Transportation,2024-11-04,7.7,SWITZERLAND,Entry (EN),1,Small (S),1,2024,11,2024-11
AI Product Manager,95673.0,EX,FL,S,0,Associate,17,Technology,2024-08-24,8.1,IRELAND,Expert (EX),4,Small (S),1,2024,8,2024-08
AI Software Engineer,59405.0,EN,FL,L,100,Bachelor,1,Consulting,2025-03-18,6.0,AUSTRIA,Entry (EN),1,Large (L),3,2025,3,2025-03
AI Specialist,131756.0,SE,PT,M,0,PhD,5,Technology,2024-08-03,7.9,NETHERLANDS,Senior (SE),3,Medium (M),2,2024,8,2024-08
AI Software Engineer,42835.0,EN,PT,L,0,Bachelor,0,Media,2025-03-02,9.0,SOUTH KOREA,Entry (EN),1,Large (L),3,2025,3,2025-03
Autonomous Systems Engineer,61893.0,EN,FT,M,50,Associate,1,Consulting,2024-03-28,5.2,CANADA,Entry (EN),1,Medium (M),2,2024,3,2024-03
ML Ops Engineer,141791.0,EX,CT,M,0,PhD,13,Media,2025-02-03,5.8,FRANCE,Expert (EX),4,Medium (M),2,2025,2,2025-02
AI Product Manager,258637.0,EX,PT,M,50,Master,11,Education,2025-01-16,9.1,UNITED KINGDOM,Expert (EX),4,Medium (M),2,2025,1,2025-01
NLP Engineer,49485.0,MI,FT,S,0,Associate,2,Technology,2024-08-09,7.8,FINLAND,Mid (MI),2,Small (S),1,2024,8,2024-08
Robotics Engineer,172916.0,SE,PT,S,100,Bachelor,8,Manufacturing,2024-12-29,7.6,NORWAY,Senior (SE),3,Small (S),1,2024,12,2024-12
Machine Learning Engineer,324557.0,EX,FT,L,100,PhD,11,Telecommunications,2024-11-06,7.3,DENMARK,Expert (EX),4,Large (L),3,2024,11,2024-11
AI Consultant,73894.0,MI,CT,M,50,Bachelor,4,Consulting,2024-08-08,5.2,FRANCE,Mid (MI),2,Medium (M),2,2024,8,2024-08
Principal Data Scientist,122598.0,SE,FT,S,50,Associate,9,Media,2025-01-05,5.2,SWEDEN,Senior (SE),3,Small (S),1,2025,1,2025-01
Data Scientist,94478.0,MI,FL,S,100,PhD,4,Retail,2024-05-24,8.4,DENMARK,Mid (MI),2,Small (S),1,2024,5,2024-05
Autonomous Systems Engineer,53088.0,EN,PT,M,50,PhD,1,Finance,2025-04-12,9.0,AUSTRIA,Entry (EN),1,Medium (M),2,2025,4,2025-04
Machine Learning Researcher,116012.0,MI,FT,M,0,Master,3,Automotive,2024-09-23,7.9,DENMARK,Mid (MI),2,Medium (M),2,2024,9,2024-09
Deep Learning Engineer,35593.0,EN,CT,S,0,Bachelor,0,Media,2024-03-09,6.3,CHINA,Entry (EN),1,Small (S),1,2024,3,2024-03
AI Product Manager,149053.0,EX,FT,S,0,Master,17,Media,2024-11-17,5.5,AUSTRIA,Expert (EX),4,Small (S),1,2024,11,2024-11
Principal Data Scientist,88230.0,MI,FT,L,0,Associate,4,Education,2024-05-22,7.6,AUSTRIA,Mid (MI),2,Large (L),3,2024,5,2024-05
AI Research Scientist,224919.0,EX,FL,M,100,Associate,19,Education,2024-12-02,5.7,AUSTRALIA,Expert (EX),4,Medium (M),2,2024,12,2024-12
Machine Learning Researcher,220439.0,EX,PT,S,100,Associate,12,Manufacturing,2024-03-30,9.9,NETHERLANDS,Expert (EX),4,Small (S),1,2024,3,2024-03
NLP Engineer,48861.0,EN,PT,S,100,Bachelor,0,Healthcare,2024-07-04,8.1,FINLAND,Entry (EN),1,Small (S),1,2024,7,2024-07
AI Specialist,115841.0,SE,FL,S,0,PhD,7,Healthcare,2024-10-25,7.2,UNITED STATES,Senior (SE),3,Small (S),1,2024,10,2024-10
NLP Engineer,57266.0,MI,FL,M,0,Bachelor,3,Media,2024-08-11,7.3,IRELAND,Mid (MI),2,Medium (M),2,2024,8,2024-08
Deep Learning Engineer,66384.0,MI,CT,S,0,Associate,2,Government,2024-04-21,9.1,AUSTRALIA,Mid (MI),2,Small (S),1,2024,4,2024-04
Data Analyst,184637.0,EX,PT,S,100,Bachelor,11,Government,2024-05-23,5.5,SWEDEN,Expert (EX),4,Small (S),1,2024,5,2024-05
AI Research Scientist,92445.0,MI,CT,M,50,Bachelor,4,Technology,2024-10-22,9.2,NETHERLANDS,Mid (MI),2,Medium (M),2,2024,10,2024-10
Machine Learning Researcher,57388.0,EN,FL,L,0,Associate,1,Consulting,2024-01-12,8.3,CANADA,Entry (EN),1,Large (L),3,2024,1,2024-01
Head of AI,53374.0,MI,PT,M,0,PhD,2,Government,2024-06-22,9.5,CHINA,Mid (MI),2,Medium (M),2,2024,6,2024-06
AI Research Scientist,95716.0,SE,CT,S,50,PhD,6,Media,2024-03-19,7.4,FINLAND,Senior (SE),3,Small (S),1,2024,3,2024-03
NLP Engineer,157091.0,MI,FL,L,0,PhD,2,Transportation,2025-03-04,7.7,NORWAY,Mid (MI),2,Large (L),3,2025,3,2025-03
ML Ops Engineer,204144.0,SE,FL,L,100,PhD,8,Telecommunications,2024-12-12,9.5,NORWAY,Senior (SE),3,Large (L),3,2024,12,2024-12
AI Software Engineer,190314.0,EX,CT,M,100,PhD,12,Government,2024-05-23,9.9,NETHERLANDS,Expert (EX),4,Medium (M),2,2024,5,2024-05
Principal Data Scientist,198403.0,EX,FL,M,50,Associate,15,Media,2024-03-14,9.1,DENMARK,Expert (EX),4,Medium (M),2,2024,3,2024-03
Research Scientist,153040.0,SE,CT,L,50,Bachelor,7,Manufacturing,2024-06-25,8.2,CANADA,Senior (SE),3,Large (L),3,2024,6,2024-06
AI Software Engineer,51898.0,MI,FL,S,0,Associate,2,Consulting,2024-10-05,8.9,ISRAEL,Mid (MI),2,Small (S),1,2024,10,2024-10
AI Architect,115191.0,SE,FL,S,0,Associate,7,Education,2024-07-10,5.7,GERMANY,Senior (SE),3,Small (S),1,2024,7,2024-07
ML Ops Engineer,170139.0,SE,PT,L,50,Bachelor,5,Technology,2025-01-30,9.6,UNITED STATES,Senior (SE),3,Large (L),3,2025,1,2025-01
ML Ops Engineer,63860.0,EN,CT,L,100,Master,0,Gaming,2024-08-02,9.5,CANADA,Entry (EN),1,Large (L),3,2024,8,2024-08
NLP Engineer,125152.0,MI,CT,M,100,PhD,3,Retail,2024-08-11,6.6,NORWAY,Mid (MI),2,Medium (M),2,2024,8,2024-08
AI Software Engineer,61572.0,EN,CT,L,50,Bachelor,0,Healthcare,2024-07-19,7.1,SOUTH KOREA,Entry (EN),1,Large (L),3,2024,7,2024-07
Head of AI,101054.0,MI,CT,M,50,Master,3,Transportation,2024-01-06,8.5,GERMANY,Mid (MI),2,Medium (M),2,2024,1,2024-01
Data Engineer,145355.0,EX,CT,S,100,Master,13,Media,2024-08-25,9.6,CANADA,Expert (EX),4,Small (S),1,2024,8,2024-08
Deep Learning Engineer,183484.0,EX,FT,S,100,Master,19,Gaming,2024-11-20,7.7,SINGAPORE,Expert (EX),4,Small (S),1,2024,11,2024-11
AI Product Manager,111997.0,MI,CT,L,100,PhD,2,Technology,2025-03-15,6.6,SINGAPORE,Mid (MI),2,Large (L),3,2025,3,2025-03
AI Specialist,214195.0,EX,PT,M,100,Bachelor,19,Manufacturing,2025-03-13,5.2,UNITED KINGDOM,Expert (EX),4,Medium (M),2,2025,3,2025-03
AI Software Engineer,93211.0,SE,PT,M,50,Master,9,Manufacturing,2025-01-08,9.3,INDIA,Senior (SE),3,Medium (M),2,2025,1,2025-01
